Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t know if a vaccine will work,KY,284550,-,151136,97191,24320,11903,172967,111583,-,275580,-,-,8971,23688,166806,49211,44846,130085,10014,36191,108259,-,88413,54852,68618,18622,11622,42423,-,92086,192464,120837,163713,-,232519,52031,-,51815,39734,46889,47126,11350,65078,-,-,22558,209925,4964,36445,88059,1999,43049,-,15227,1889,19593,-,-,-,-,284550,-,172133,89860,-,-,22558,241184,4256,16551,-,22558,179533,72951,9509,-,22558,177814,73626,538,10014,22558,75705,199875,8971,-
Don’t believe I need a vaccine,KY,338413,86948,93902,130459,8681,18424,272783,65630,-,235588,20565,-,82260,20221,234262,39042,44888,134409,10014,18942,175048,-,77701,69480,6736,63617,104744,16135,-,166166,172247,61898,276515,-,292507,45906,-,5226,45091,49995,7754,1874,64307,9532,-,154635,136796,5285,10552,81459,-,68304,29777,538,1889,118807,-,-,-,-,338413,-,160391,27294,4688,-,146040,174707,4241,13425,-,146040,138809,53026,538,-,146040,144930,36891,538,10014,146040,11457,326956,-,-
Don’t like vaccines,KY,122122,-,23582,96652,-,1889,89626,32497,20429,96411,5283,-,-,-,69586,25671,26865,58648,-,17423,46051,-,58322,6894,27612,-,8865,20429,-,29940,92183,36465,85657,-,105792,16330,-,7303,17681,10905,-,6538,53794,-,-,25901,81667,2965,538,2021,-,5821,-,538,1889,31801,-,-,-,-,122122,-,68071,22868,5283,-,25901,89145,538,6538,-,25901,82380,8020,5821,-,25901,87663,6538,2021,-,25901,7790,114332,-,-
Doctor has not recommended it,KY,43412,-,9375,22520,11516,-,16689,26722,7437,29406,-,-,6569,-,10110,26732,6569,27739,-,5562,10110,-,15672,9375,10927,7437,-,-,-,4358,39053,11970,31442,-,37850,5562,-,11593,-,11596,7437,-,6569,-,-,6218,40070,10927,26055,-,1483,3703,15944,1483,-,1859,-,-,-,-,43412,-,23258,18295,-,-,1859,18172,16812,6569,-,1859,5841,19767,15944,-,1859,11795,18899,9375,1483,1859,14005,29406,-,-
Plan to wait and see if it is safe,KY,319385,20536,152599,100044,19305,26902,121948,197437,15125,272563,26414,-,5283,30074,90453,137412,61446,95000,10014,70943,143428,-,52157,109049,54484,42788,19549,25510,15848,140410,178976,135882,183503,-,212046,107339,-,73758,13083,65906,11457,16000,17157,14547,3838,103640,154238,32461,64872,86910,28622,77958,5283,46088,16435,35882,-,-,-,-,319385,-,140419,74304,12536,-,92125,183222,24076,19962,-,92125,137205,76694,13362,-,92125,160357,55407,-,11496,92125,70214,249172,-,-
Other people need it more right now,KY,60331,4688,36660,10373,8610,-,7334,52996,5015,55316,-,-,-,5199,-,36870,18261,33298,-,1807,25226,-,7411,19514,-,5015,12894,15496,-,29722,30608,8717,51613,-,38099,22232,-,5226,1674,12685,-,2249,-,14547,-,23950,38125,11049,16602,6822,5199,15113,-,19289,-,14063,-,-,-,-,60331,-,21055,10638,4688,-,23950,32432,538,3411,-,23950,19622,16221,538,-,23950,32432,3411,538,-,23950,14575,45756,-,-
Concerned about the cost,KY,23296,-,-,19548,1859,1889,-,23296,-,23296,-,-,-,-,16583,4824,1889,21437,-,1859,-,-,1859,4854,-,-,-,16583,-,16583,6713,20331,2965,-,4854,18443,-,-,1889,16583,-,-,-,-,-,4824,2965,19548,-,-,-,16583,-,-,1889,1859,-,-,-,-,23296,-,1889,16583,-,-,4824,1889,16583,-,-,4824,1889,16583,-,-,4824,1889,16583,-,-,4824,-,23296,-,-
Don’t trust COVID-19 vaccines,KY,464923,47376,176707,178681,37223,24937,222763,242160,10110,414712,31130,-,8971,23688,294862,99327,47046,194848,10014,64373,195688,-,114295,111226,87475,7522,29730,89799,24875,156986,307937,140336,324588,-,307547,156439,937,54577,43145,63669,76649,30063,60604,9725,1483,125009,296024,38444,74412,143096,14439,116454,24875,23353,20291,21586,-,-,-,-,463986,937,290969,98835,3703,-,71416,357710,15835,19962,-,71416,218607,159550,10991,-,75775,229527,124194,538,34889,75775,131179,323837,9908,-
Don’t trust the government,KY,386981,82260,93056,130180,60263,21222,271929,115052,10110,275074,10565,-,91231,23688,259748,60255,43291,154663,11257,78181,142881,-,96748,70644,64481,10030,97935,22268,24875,190245,196736,80374,306606,-,262875,123169,937,62780,14270,14804,63209,15172,60604,3411,-,152732,221748,8250,50163,42769,10565,119869,24875,19536,18660,108211,-,-,-,-,386044,937,158738,71365,10364,-,146514,220641,13076,6749,-,146514,131845,94369,9895,-,150873,126288,84945,-,24875,150873,65970,311104,9908,-
Other,KY,158680,82260,19912,39502,13028,3979,107939,50741,-,69852,-,-,88829,5199,96516,27670,29295,36259,4146,11074,107202,-,21232,20259,25467,9463,82260,-,-,113730,44950,21593,137088,-,144853,13827,-,23232,11767,5354,7022,-,11584,1674,4041,94006,57285,23865,21258,1193,5199,14127,6569,3700,-,86948,-,-,-,-,158680,-,38335,25640,2559,-,92147,57753,2212,6569,-,92147,29070,22944,14519,-,92147,41535,22978,2021,-,92147,17650,141031,-,-
Did not report,KY,10214,-,10214,-,-,-,10214,-,-,-,-,10214,-,-,-,-,10214,-,-,-,10214,-,-,-,10214,-,-,-,-,-,10214,-,10214,-,10214,-,-,-,-,-,-,-,-,-,-,10214,10214,-,-,-,-,-,-,-,-,-,-,-,-,-,10214,-,-,-,-,-,10214,-,-,-,-,10214,-,-,-,-,10214,-,-,-,-,10214,-,10214,-,-
Total,ME,170224,7705,86765,36718,23899,15138,73313,96911,1646,158255,-,-,10323,21376,66167,62143,20538,78834,8774,14683,67933,-,5424,72285,35846,29230,13581,12212,1646,58452,111771,25221,145003,-,106319,63905,-,19210,34603,25036,26581,6717,4794,-,3627,49656,113059,42306,14855,24510,8210,28606,1637,13752,8676,28382,-,724,-,-,169500,-,87331,22515,14222,945,45211,120978,3310,724,-,45211,67449,53215,3524,-,46035,88762,22748,13502,-,45211,11452,151491,7281,-
Concerned about possible side effects,ME,86265,7705,38537,24232,14137,1653,48484,37781,-,82496,-,-,3769,7646,40038,30431,8150,43011,2496,4982,35776,-,2554,34206,30208,7961,7338,2352,1646,27477,58788,10077,76188,-,62194,24071,-,7101,24425,4335,6333,4718,3172,-,1104,35077,52111,33886,10625,24035,3437,18513,1637,12671,-,23897,-,724,-,-,85541,-,42300,9655,2732,945,30633,51598,3310,724,-,30633,39173,12111,3524,-,31457,46850,8058,724,-,30633,5119,75087,6059,-
Don’t know if a vaccine will work,ME,38837,7705,23853,4261,3018,-,26651,12185,-,37778,-,-,1059,-,26229,11789,819,17331,-,945,20561,-,-,9778,23183,2465,1059,706,1646,8466,30371,1646,37191,-,33080,5757,-,1059,20687,819,2074,3292,-,-,-,10907,27817,21816,-,18915,-,4351,-,1877,-,10201,-,-,-,-,38837,-,23266,3720,-,945,10907,26284,1646,-,-,10907,22875,4237,819,-,10907,25339,2591,-,-,10907,-,32778,6059,-
Don’t believe I need a vaccine,ME,49352,1646,39585,4950,3170,-,31224,18128,-,48650,-,-,702,-,32704,11515,5133,15257,-,366,33729,-,366,16254,23047,3126,2444,2469,1646,13532,35820,-,49352,-,43591,5761,-,2804,18096,8214,1846,3994,1664,-,1104,11629,41647,24448,2804,18096,-,4090,-,-,-,7705,-,-,-,-,49352,-,35192,4012,-,-,10148,37540,1664,-,-,10148,35375,3126,702,-,10148,37558,1646,-,-,10148,366,48986,-,-
Don’t like vaccines,ME,33641,-,25635,4257,3749,-,28132,5509,-,31880,-,-,1761,-,26959,4499,2182,7839,-,945,24857,-,-,9807,22775,-,1059,-,-,3241,30400,-,33641,-,33641,-,-,3863,18096,-,2425,702,-,-,-,8555,25086,20900,2804,18096,-,2003,-,1059,-,8555,-,-,-,-,33641,-,24384,702,-,-,8555,25086,-,-,-,8555,21959,2425,702,-,8555,25086,-,-,-,8555,-,33641,-,-
Doctor has not recommended it,ME,3292,1646,1646,-,-,-,-,3292,-,3292,-,-,-,-,-,3292,-,3292,-,-,-,-,-,-,1646,1646,-,-,-,3292,-,1646,1646,-,-,3292,-,-,1646,-,-,1646,-,-,-,-,3292,1646,-,-,-,1646,-,-,-,-,-,-,-,-,3292,-,3292,-,-,-,-,1646,1646,-,-,-,1646,1646,-,-,-,3292,-,-,-,-,-,3292,-,-
Plan to wait and see if it is safe,ME,50172,6059,16239,17898,2768,7207,19180,30991,1646,45706,-,-,2819,-,14420,29546,6205,42459,-,2974,4739,-,1258,21046,10901,5142,6064,5761,-,24664,25508,6152,44020,-,30259,19913,-,2506,4016,9676,8562,1053,2205,-,-,22154,29652,10257,702,1425,4791,10022,-,4863,-,12874,-,-,-,-,50172,-,14914,14185,1059,-,20014,26848,3310,-,-,20014,15631,13459,1068,-,20014,20180,9978,-,-,20014,6184,37929,6059,-
Other people need it more right now,ME,20199,-,15175,5024,-,-,8218,11981,-,10825,-,-,9373,-,2873,14168,3158,7065,-,819,12315,-,541,12737,4225,-,2696,-,-,8735,11464,10923,9276,-,4766,15433,-,3931,9864,1637,-,2348,541,-,-,1877,11162,6006,4510,3931,1664,9919,1637,8291,6554,819,-,-,-,-,20199,-,15974,2348,1059,-,819,17734,1646,-,-,819,2658,14383,2339,-,819,16070,3310,-,-,819,-,20199,-,-
Concerned about the cost,ME,6059,6059,-,-,-,-,6059,-,-,6059,-,-,-,-,6059,-,-,6059,-,-,-,-,-,6059,-,-,-,-,-,-,6059,-,6059,-,6059,-,-,-,-,-,-,-,-,-,-,6059,-,-,-,-,-,-,-,-,-,6059,-,-,-,-,6059,-,-,-,-,-,6059,-,-,-,-,6059,-,-,-,-,6059,-,-,-,-,6059,-,-,6059,-
Don’t trust COVID-19 vaccines,ME,59534,7705,28176,10624,5822,7207,35871,23663,-,57417,-,-,2117,-,35310,18990,5234,30344,6277,1296,21617,-,-,19716,26844,4651,3502,3175,1646,18636,40898,1059,58476,-,42761,16773,-,11362,19041,4217,3554,1646,1664,-,1104,16946,46236,27580,2804,19974,-,5490,-,2936,-,12480,-,-,-,-,59534,-,39386,3738,1059,945,14407,43463,1664,-,-,14407,35606,8702,819,-,14407,37905,7222,-,-,14407,-,52254,7281,-
Don’t trust the government,ME,49896,6059,26534,13188,4115,-,37385,12510,-,47077,-,-,2819,-,26959,17804,5133,24166,-,1785,23944,-,366,13003,27546,3126,3502,706,1646,15468,34428,3179,46716,-,43957,5939,-,5451,21959,-,1480,702,1664,-,1104,17535,36461,25873,2804,19996,1646,4927,-,2117,475,11423,-,-,-,-,49896,-,30055,2841,1059,945,14996,33235,1664,-,-,14996,30932,2900,1068,-,14996,33589,1311,-,-,14996,-,42615,7281,-
Other,ME,57042,-,38376,6370,10643,1653,28129,28913,-,56093,-,-,949,13731,26646,7740,8926,16614,-,8156,32272,-,2977,8769,18919,18314,2319,5745,-,13470,43573,6233,50809,-,45501,11541,-,6332,18096,7159,11490,2372,2589,-,2523,6481,50558,26411,7156,18096,1773,4186,-,-,1648,-,-,724,-,-,56318,-,37231,2471,13164,-,4176,52142,-,724,-,4176,35144,16898,-,-,5000,37126,2238,13502,-,4176,2406,54637,-,-
Did not report,ME,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,MD,885840,132094,359027,241945,105542,47232,382054,503785,71702,412026,338600,14632,48879,66910,360021,271618,187290,324426,6152,97844,454916,2501,68315,187937,159591,190164,100911,134264,44657,530186,355653,261882,623957,-,542169,339102,4569,104110,52798,57401,64565,61976,103650,33759,28306,379274,447983,200989,129092,127876,78981,234573,18767,88540,70816,188365,9136,879,10252,-,863890,11698,418243,162308,4850,8367,292072,529716,54824,2828,8367,290105,352257,201089,31753,10635,290105,438103,109456,39809,8367,290105,170247,711124,2238,2231
Concerned about possible side effects,MD,475713,51658,213184,116686,59500,34685,213376,262338,31847,212738,193843,2253,35032,28462,179995,167495,99762,161356,509,80476,233373,-,39365,116395,79183,126165,48749,41467,24391,282816,192898,190183,285531,-,317865,157849,-,48228,42141,40395,28377,15816,70864,6560,9357,213975,210099,116400,77230,89072,50364,114499,18274,68937,41149,115702,2484,-,2322,-,466700,6692,202375,81868,3788,-,187682,256764,28440,2828,-,187682,141205,128262,16297,2269,187682,196690,71427,19915,-,187682,122871,350612,-,2231
Don’t know if a vaccine will work,MD,144092,4674,59651,52365,20947,6455,52960,91132,9539,82871,50341,-,1341,18347,31921,74716,19108,55854,-,19258,68980,-,2942,45718,9582,55394,17089,5504,7863,77322,66771,75480,68612,-,85287,58805,-,12366,19171,11620,5119,-,33196,4291,4437,53893,99776,58556,20816,47395,24002,60957,8991,23205,-,9271,-,-,2322,-,141770,-,78118,22495,-,-,43480,99860,753,-,-,43480,66200,33005,1408,-,43480,89518,11095,-,-,43480,38263,105829,-,-
Don’t believe I need a vaccine,MD,151414,18401,81427,30681,20905,-,72496,78918,15767,93379,42268,-,-,-,68361,55094,27960,51033,-,9682,90699,-,-,19370,63299,29738,11157,19988,7863,83409,68005,44749,106665,-,92074,59340,-,15767,21309,7011,9938,12999,21710,3816,6210,52654,95625,36936,19983,28125,11126,43404,-,4674,-,29354,-,879,3201,-,141521,6692,65193,40259,-,8367,37595,80490,24962,-,8367,37595,61541,43180,730,8367,37595,87306,12741,5405,8367,37595,32336,119078,-,-
Don’t like vaccines,MD,112186,2600,72469,20888,12615,3614,53264,58922,13706,73322,25158,-,-,-,51803,47204,13179,59027,1412,11070,40677,-,6820,15407,20216,29327,-,29520,10896,86613,25572,62863,49323,-,79524,32661,-,2396,17032,14487,19904,730,8598,6560,2532,39946,40199,23244,40356,18639,6943,52055,-,7926,-,27147,-,-,-,-,105057,7129,31773,47158,-,-,33255,69241,7422,2269,-,33255,51711,24221,730,2269,33255,61170,10088,7673,-,33255,19463,92723,-,-
Doctor has not recommended it,MD,43614,-,5385,23580,4807,9841,20580,23034,1437,39675,2501,-,-,8367,14118,14470,6658,13205,-,18395,10411,1603,-,21249,898,6716,6583,305,7863,18390,25223,1437,42177,-,26599,17015,-,898,14494,1062,1941,-,13205,-,2044,9970,43614,14184,7863,9429,-,14151,-,2534,-,-,-,-,-,-,43614,-,26228,7957,1062,-,8367,25405,9841,-,-,8367,26999,7350,898,-,8367,18594,6811,9841,-,8367,7001,36612,-,-
Plan to wait and see if it is safe,MD,424116,53384,234294,88225,38928,9286,157534,266582,48393,180090,173998,3636,17998,28462,152204,157756,85695,148131,3538,39507,232940,-,29461,88260,64983,90668,53589,65302,31854,263452,160664,156704,267412,-,262092,162024,-,55941,17809,39216,18013,4232,58017,4668,7584,218638,178838,98841,63550,82147,47200,110209,18274,50305,29213,105215,9136,879,10252,-,413864,-,189423,63516,-,-,171177,243943,8996,-,-,171177,166109,75818,11012,-,171177,192060,58396,2484,-,171177,71587,350299,-,2231
Other people need it more right now,MD,220687,54637,102877,52749,10424,-,114874,105813,-,139823,80029,-,835,31057,76858,79701,33072,61653,-,6415,152619,-,8683,38289,46736,35853,40511,39720,10896,168042,52646,65130,155558,-,142773,77914,-,30570,12047,19783,14278,38266,26386,16343,7268,55747,138834,87475,45347,31533,26482,97569,8239,39303,-,35645,-,879,3201,-,217486,-,133430,31511,-,-,55747,161171,3769,-,-,55747,114037,50173,730,-,55747,158161,6050,730,-,55747,36045,184642,-,-
Concerned about the cost,MD,8926,-,-,8367,559,-,8926,-,-,8926,-,-,-,8367,-,-,559,559,-,-,8367,-,-,8926,-,-,-,-,-,559,8367,-,8926,-,8926,-,-,-,-,559,-,-,-,-,-,8367,8367,559,559,8367,-,559,-,-,-,-,-,-,-,-,8926,-,-,-,559,-,8367,-,-,559,-,8367,-,-,559,-,8367,-,-,559,-,8367,-,8926,-,-
Don’t trust COVID-19 vaccines,MD,253397,28928,129793,53832,40063,781,108983,144414,26863,122088,88294,-,16152,31284,84097,103108,34907,61173,-,38156,153170,898,34340,51083,42954,51572,27873,17025,28550,147802,105595,76901,176496,-,149237,104159,-,37855,23888,36937,11723,2250,28040,3900,6557,102247,122491,65487,24963,54515,22019,74796,8239,42952,-,59798,-,-,2322,-,244383,6692,87571,74149,559,-,91117,148086,11366,2828,-,91117,87472,60458,12081,2269,91117,119899,22076,20305,-,91117,59407,191759,-,2231
Don’t trust the government,MD,188461,23368,84142,53989,24772,2189,105042,83419,24647,101331,50707,-,11776,8367,79178,59539,41376,73028,421,21009,94003,-,15548,39270,49545,39378,17647,19210,7863,105031,83429,46777,141684,-,137876,50584,-,9428,6106,19088,3363,1418,36968,6560,6674,98856,96264,39006,26442,22101,7520,54055,-,10749,2327,57719,-,-,-,-,188461,-,56714,35650,3788,-,92308,93324,-,2828,-,92308,59621,29066,5196,2269,92308,74335,18989,2828,-,92308,28280,157943,2238,-
Other,MD,114307,-,41916,48720,14806,8866,38744,75563,148,70640,24749,7842,10930,8367,15819,35894,54227,66856,1114,16553,29785,-,11994,36366,17685,29003,3598,7799,7863,52929,61379,32042,82265,-,72608,41699,-,2452,2749,3604,16749,6996,16542,9700,10742,44774,75101,40133,31541,19031,16517,40385,8519,10886,3136,11310,-,-,-,-,114307,-,44298,32994,3788,-,33227,78566,3922,559,-,31260,48554,14570,19923,-,31260,64219,11909,6919,-,31260,18009,96299,-,-
Did not report,MD,9112,-,-,7339,1773,-,8744,368,4569,3642,-,901,-,4569,-,-,4543,6972,-,-,2140,-,4936,2674,-,1502,-,-,-,1502,7610,-,9112,-,1869,2674,4569,-,-,-,368,-,-,-,3274,5470,3642,-,-,-,-,-,-,-,-,5470,-,-,-,-,4543,4569,1869,1773,-,-,5470,3642,-,-,-,5470,3642,-,-,-,5470,1869,1773,-,-,5470,4569,4543,-,-
Total,MA,783491,63187,271064,198770,132726,117744,406561,376930,74712,534185,45579,37037,91978,95344,298909,201446,187793,358233,17519,120842,279452,7444,53609,218281,148584,148311,103722,65482,45502,320211,463281,211669,571822,-,435926,346633,933,49100,32687,53310,55605,43038,111847,35109,21401,381394,384744,136923,104918,52979,74308,158253,16335,66827,22202,222792,38553,39013,21090,8059,684517,8377,294578,134977,11135,21090,321711,375278,56870,23978,5654,321711,303023,116466,32291,10000,321711,356234,63197,42350,-,321711,209110,543957,30424,-
Concerned about possible side effects,MA,305013,2949,139640,104646,43821,13958,130895,174118,21622,215614,33964,4970,28843,17048,115419,91572,80974,148772,7093,37438,104266,7444,27474,66243,65430,78096,46298,14524,6949,141485,163528,78609,226404,-,190836,114177,-,15428,2796,2687,35744,18850,48805,14514,8674,157514,159564,43383,38175,11631,19183,81524,11654,44021,19314,82540,-,15466,-,-,282103,7444,98722,58820,6454,-,141016,139432,16022,2888,5654,141016,124552,29907,9538,-,141016,131615,27099,5283,-,141016,77961,220836,6215,-
Don’t know if a vaccine will work,MA,127169,-,82290,25565,12583,6730,71488,55680,6712,91175,7081,4148,18052,-,66926,38915,21327,44145,8471,23365,51188,-,13716,45401,10814,48358,3025,2363,3491,51116,76052,36913,90256,-,69714,57455,-,8524,8225,14269,17168,2991,31964,-,5002,39027,79061,10535,17004,-,21351,43087,951,18650,5746,24800,-,15466,-,-,111703,-,47661,44628,5746,-,29133,86413,11623,-,-,29133,60586,28197,9252,-,29133,62205,28292,7539,-,29133,20775,101143,5250,-
Don’t believe I need a vaccine,MA,121167,-,73185,37081,10901,-,74241,46926,4084,91586,7444,-,18052,-,80408,21145,19613,59282,-,11611,42830,7444,13950,35455,11529,38079,10124,9159,2871,60233,60934,21302,99865,-,94988,26178,-,6173,-,11582,15399,-,49531,-,8244,30238,100532,20121,15235,-,16052,20335,951,7124,-,20635,-,15466,-,-,98257,7444,60288,36960,-,-,23919,90858,6390,-,-,23919,73821,21338,2089,-,23919,91075,6173,-,-,23919,38025,77891,5250,-
Don’t like vaccines,MA,86622,2949,21312,28952,8346,25063,43404,43217,15591,53014,1383,-,16634,8059,45814,16948,15800,42008,-,14911,29702,-,9678,27566,30338,951,7159,-,10930,35671,50950,30944,55678,-,44646,41975,-,8459,14753,1023,17791,2949,533,5776,5002,30337,55788,23949,7688,-,21818,44261,951,23756,-,11105,8059,8059,-,8059,78563,-,46965,9319,-,-,30337,49914,6371,-,-,30337,48503,5693,2089,-,30337,46132,10153,-,-,30337,22815,58556,5250,-
Doctor has not recommended it,MA,39653,-,27801,7191,3729,933,23100,16553,1102,38552,-,-,-,-,24529,7418,7706,26364,-,933,12356,-,4443,12768,1102,15466,3512,2363,-,18930,20723,5601,34052,-,26193,13460,-,2089,2796,-,1865,4194,15466,1102,-,12142,27126,2354,933,-,5553,8180,-,7248,-,6267,-,15466,-,-,24187,-,9250,18262,-,-,12142,27512,-,-,-,12142,22627,2796,2089,-,12142,21694,5817,-,-,12142,6068,33585,-,-
Plan to wait and see if it is safe,MA,289019,46306,109848,78097,38786,15982,172109,116910,26776,197550,26039,17887,20766,4777,113091,122500,48651,119797,410,27771,133597,7444,16073,73373,54772,60114,42732,37876,4079,123160,165858,90451,198568,-,164506,124513,-,10912,8225,20861,14574,31734,32015,5837,-,164861,141434,52703,61696,10530,25501,63314,7159,23025,7711,103588,-,15488,-,-,266086,7444,106488,37482,5746,-,139303,124221,25494,-,-,139303,92893,47570,9252,-,139303,115656,34060,-,-,139303,79268,206632,3119,-
Other people need it more right now,MA,155305,46306,67906,32982,8111,-,108818,46487,9846,119371,1383,19744,4961,3421,85474,38930,27480,59172,-,12382,83751,-,9612,40246,38072,43466,5950,17959,-,66533,88772,40274,115032,-,92923,62383,-,7842,11305,2341,11746,18927,23922,3473,4647,71102,75516,39772,35288,-,18710,32809,-,20093,-,45523,-,30954,-,-,124351,-,59338,29013,-,-,66954,76059,12292,-,-,66954,54707,33644,-,-,66954,78667,5926,3757,-,66954,19714,132472,3119,-
Concerned about the cost,MA,9168,-,8548,621,-,-,3119,6049,-,621,5428,-,3119,-,3119,6049,-,621,-,3119,5428,-,3119,5428,-,-,-,-,621,621,8548,3740,5428,-,-,9168,-,-,5428,-,-,621,-,-,-,3119,5428,621,-,-,6049,5428,-,621,-,3119,-,-,-,-,9168,-,-,6049,-,-,3119,6049,-,-,-,3119,621,5428,-,-,3119,621,5428,-,-,3119,-,6049,3119,-
Don’t trust COVID-19 vaccines,MA,183317,-,103163,27759,38089,14306,89322,93995,14502,126168,11553,-,31094,15626,73801,62405,31485,78684,9878,15648,79106,-,14237,49628,8485,73593,15894,9929,11550,88100,95216,50065,133252,-,112926,70391,-,12822,8225,9238,17455,3480,39503,-,8674,83920,92293,21089,22726,11631,29838,45233,8110,18635,997,56203,8059,23525,-,8059,159792,-,47042,52056,709,-,83510,77606,22201,-,-,83510,66253,29050,4504,-,83510,70032,21238,8536,-,83510,34876,143190,5250,-
Don’t trust the government,MA,194731,18801,73413,23849,19026,59643,117138,77593,9056,108099,4472,-,73105,59643,49164,54414,31511,57012,997,62299,74424,-,8914,43809,2387,65754,30080,2363,41424,96039,98692,84673,110058,-,99207,95524,-,28017,-,658,14881,23636,31706,3473,8674,83686,88845,27595,17923,29141,15212,17836,951,14713,997,65942,38553,23525,21090,8059,119623,-,58138,33250,-,21090,82254,80376,11012,21090,-,82254,64379,23923,24176,-,82254,86870,3521,22087,-,82254,40574,127817,26340,-
Other,MA,158290,10353,65669,28429,44608,9231,74417,83873,12643,117033,2646,9224,16744,2888,54307,29766,71329,83498,10427,1944,62421,-,15019,57891,34352,25890,19042,6095,-,44187,114103,22166,136124,-,108922,48435,933,3284,21015,12142,23613,6161,31163,15285,11061,34566,107901,42348,22702,13308,11997,28186,4681,16624,4854,14149,-,-,-,-,157357,933,95449,30998,4681,-,27162,102057,29071,-,-,27162,97809,23074,245,10000,27162,108984,9924,12220,-,27162,43828,114462,-,-
